filters1,ksize1,filters2,ksize2,filters3,ksize3,full_hidd1,full_hidd2,activation,learning_rate,batch_size,momentum,patch_reduction,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
64,4,48,3,64,5,60,80,elu,0.001,128,0.9,2,adam,1.026363134,0.655399978,0.70751342,0.827927918,13,./log/run-20190731T210104/
96,3,64,5,96,4,100,125,relu,0.0015,32,0.95,2,nesterov,0.998828113,0.651600003,0.682424247,0.921176139,10,./log/run-20190731T210142/
64,4,64,3,96,5,60,80,lrelu,0.001,64,0.95,0,nesterov,0.987586439,0.672100008,0.709769246,0.838319833,13,./log/run-20190731T210243/
32,5,128,5,64,5,60,100,elu,0.001,32,0.99,2,adam,0.940776169,0.682099998,0.702181826,0.846094948,10,./log/run-20190731T210341/
64,4,64,5,64,4,100,125,elu,0.002,64,0.9,2,nesterov,1.004596472,0.66109997,0.731153861,0.791978684,13,./log/run-20190731T210444/
16,3,48,5,96,5,125,100,relu,0.002,128,0.95,0,adam,0.982660174,0.675599992,0.687139735,0.877772726,11,./log/run-20190731T210532/
96,3,96,5,96,3,100,80,elu,0.002,32,0.9,2,adam,0.928301871,0.694299996,0.720202028,0.803506126,11,./log/run-20190731T210606/
16,3,96,4,64,3,125,80,lrelu,0.002,64,0.99,2,adam,0.92587775,0.685800016,0.682358991,0.8914636,11,./log/run-20190731T210721/
32,4,64,4,64,3,100,80,relu,0.001,64,0.99,0,nesterov,0.996871293,0.658100009,0.662692325,0.968397711,13,./log/run-20190731T210757/
64,5,64,5,128,5,125,80,relu,0.002,32,0.99,0,adam,0.876924813,0.720799983,0.752554122,0.714368495,12,./log/run-20190731T220005/
32,5,96,4,128,3,125,80,relu,0.002,32,0.99,0,adam,0.848810911,0.712199986,0.714646472,0.819339365,11,./log/run-20190731T220129/
32,3,64,4,128,5,125,100,relu,0.002,64,0.99,2,adam,0.932006955,0.674899995,0.672000017,0.935254917,9,./log/run-20190731T220235/
96,5,48,5,128,4,100,125,relu,0.001,128,0.95,1,rmsprop,1.17205584,0.592800021,0.582786722,1.15704574,8,./log/run-20190731T220308/
32,4,64,3,128,3,100,80,lrelu,0.002,64,0.95,1,rmsprop,0.996454477,0.682799995,0.675145316,0.924947608,14,./log/run-20190731T220340/
16,4,48,4,64,5,60,80,relu,0.002,64,0.9,1,nesterov,1.037834764,0.639900029,0.622769249,1.064599485,10,./log/run-20190731T220427/
96,3,96,5,96,5,125,100,relu,0.002,64,0.95,0,adam,0.870895684,0.715900004,0.740923091,0.741445703,11,./log/run-20190731T220457/
96,4,96,4,64,3,60,80,relu,0.002,32,0.99,2,nesterov,0.948883116,0.685699999,0.740000008,0.764110159,13,./log/run-20190731T220610/
96,4,48,5,96,3,100,80,lrelu,0.001,128,0.99,2,nesterov,1.078572989,0.627099991,0.626565297,1.06614379,13,./log/run-20190731T220732/
16,4,128,4,64,5,60,80,relu,0.0015,32,0.95,2,adam,0.980569124,0.670599997,0.685454552,0.915816651,10,./log/run-20190731T220820/
32,5,128,3,96,5,100,100,relu,0.003,32,0.99,1,nesterov,0.933637321,0.686699986,0.716606067,0.827564974,10,./log/run-20190731T220918/
32,5,96,5,96,4,100,125,elu,0.002,32,0.95,0,nesterov,0.946776688,0.687600017,0.742060613,0.769052453,10,./log/run-20190731T221017/
64,4,128,3,128,3,100,125,lrelu,0.001,32,0.99,2,rmsprop,1.026714206,0.673699975,0.694848491,0.870352182,13,./log/run-20190731T221119/
96,5,48,5,96,5,100,80,elu,0.001,32,0.95,0,adam,0.878252327,0.718800008,0.745050513,0.747880054,11,./log/run-20190731T221236/
96,4,64,5,96,3,125,125,lrelu,0.003,32,0.99,0,nesterov,0.915139079,0.708999991,0.786893949,0.643210085,13,./log/run-20190731T221357/
96,3,128,4,64,4,60,100,elu,0.0015,64,0.9,1,adam,0.875838935,0.709599972,0.723569247,0.796327197,10,./log/run-20190731T221531/
96,3,48,4,96,5,125,80,elu,0.0015,64,0.9,0,nesterov,0.972258091,0.662400007,0.695630786,0.890226592,10,./log/run-20190731T221624/
96,5,48,3,96,5,100,125,elu,0.0015,32,0.9,0,nesterov,0.905441284,0.689599991,0.714060614,0.834036144,10,./log/run-20190731T221712/
16,4,64,5,64,4,125,80,lrelu,0.001,64,0.99,1,adam,1.016946077,0.663500011,0.699868148,0.871040739,12,./log/run-20190731T221816/
96,4,64,3,64,5,60,100,relu,0.003,128,0.9,1,adam,0.91049844,0.707499981,0.728234942,0.776153113,13,./log/run-20190731T221856/
32,4,64,4,64,5,60,125,elu,0.003,64,0.95,0,adam,1.045645952,0.689599991,0.73837364,0.745279648,12,./log/run-20190731T221944/
64,5,96,4,64,3,100,100,elu,0.003,128,0.95,1,rmsprop,1.151032209,0.675100029,0.720876025,0.802757936,16,./log/run-20190731T222033/
64,3,96,3,64,3,125,100,relu,0.003,64,0.99,0,nesterov,0.921901584,0.68629998,0.727912103,0.798334299,12,./log/run-20190731T222130/
96,5,128,5,64,5,100,80,lrelu,0.003,64,0.95,2,adam,0.915752053,0.691500008,0.693784631,0.864493704,10,./log/run-20190731T222218/
64,4,128,5,128,3,60,80,lrelu,0.0015,32,0.95,0,nesterov,0.937575579,0.692499995,0.774458884,0.678626466,12,./log/run-20190731T222320/
96,5,128,3,128,5,100,125,elu,0.002,32,0.9,0,rmsprop,1.448125362,0.529900014,0.52454546,1.380142065,9,./log/run-20190731T222450/
96,4,48,3,128,4,125,100,relu,0.002,128,0.9,2,adam,0.942840457,0.704100013,0.756045849,0.704011808,14,./log/run-20190731T222602/
96,4,64,5,96,4,125,80,lrelu,0.0015,128,0.99,1,rmsprop,0.981187701,0.673900008,0.649493139,0.99456379,10,./log/run-20190731T222647/
64,4,128,5,96,5,60,80,elu,0.001,128,0.95,2,rmsprop,1.000407338,0.674000025,0.684913535,0.916610345,10,./log/run-20190731T222733/
96,4,48,5,128,4,125,80,relu,0.003,64,0.9,1,rmsprop,1.182992935,0.61650002,0.609846172,1.082574982,12,./log/run-20190731T222814/
96,5,96,3,128,4,60,100,lrelu,0.002,64,0.9,1,rmsprop,0.997945309,0.696699977,0.727261553,0.787307984,15,./log/run-20190731T222907/
96,5,64,5,128,4,125,125,elu,0.003,128,0.99,1,rmsprop,1.137610912,0.681200027,0.667262969,0.959568928,14,./log/run-20190731T223025/
32,5,128,3,128,4,100,100,lrelu,0.0015,32,0.9,0,adam,0.916898429,0.70599997,0.759191927,0.696317383,11,./log/run-20190731T223125/
96,4,128,3,64,4,100,125,elu,0.001,128,0.9,0,adam,0.851435959,0.723100007,0.754578756,0.713443515,12,./log/run-20190731T223237/
64,3,64,4,128,3,100,125,relu,0.002,32,0.99,0,rmsprop,1.195336103,0.590300024,0.580424248,1.160970177,15,./log/run-20190731T223329/
32,4,96,3,96,3,60,100,relu,0.002,64,0.95,1,nesterov,1.05083847,0.656099975,0.712923092,0.82477581,15,./log/run-20190731T223500/
64,3,48,4,128,3,100,80,relu,0.001,32,0.95,0,adam,0.901690066,0.702700019,0.728571436,0.76483515,12,./log/run-20190731T223549/
64,3,128,3,64,5,60,80,relu,0.002,64,0.95,0,rmsprop,0.981791794,0.678600013,0.648000018,1.001191059,12,./log/run-20190731T223702/
64,5,128,3,64,3,60,100,lrelu,0.003,32,0.9,1,nesterov,1.011242151,0.651199996,0.686666673,0.895206143,10,./log/run-20190731T223800/
16,5,128,5,96,4,100,80,relu,0.001,64,0.95,2,nesterov,1.059366822,0.640900016,0.6946154,0.893490141,13,./log/run-20190731T223901/
32,5,128,5,96,3,125,125,relu,0.003,64,0.95,2,rmsprop,1.056097507,0.646700025,0.610230788,1.081263044,13,./log/run-20190731T223950/
64,4,48,3,64,5,60,80,elu,0.001,128,0.9,2,adam,0.957096875,0.67019999,0.667143711,0.951835345,10,./log/run-20190731T224039/
96,3,64,5,96,4,100,125,relu,0.0015,32,0.95,2,nesterov,0.946801662,0.672900021,0.712424248,0.857403192,11,./log/run-20190731T224109/
64,4,64,3,96,5,60,80,lrelu,0.001,64,0.95,0,nesterov,0.933076382,0.67839998,0.716692323,0.831700985,13,./log/run-20190731T224218/
32,5,128,5,64,5,60,100,elu,0.001,32,0.99,2,adam,0.947076261,0.692399979,0.724545462,0.782745631,11,./log/run-20190731T224318/
64,4,64,5,64,4,100,125,elu,0.002,64,0.9,2,nesterov,1.029423833,0.66930002,0.742290612,0.762021225,14,./log/run-20190731T224431/
16,3,48,5,96,5,125,100,relu,0.002,128,0.95,0,adam,0.941244841,0.682200015,0.695984895,0.861702799,11,./log/run-20190731T224523/
96,3,96,5,96,3,100,80,elu,0.002,32,0.9,2,adam,0.98013711,0.701399982,0.763787888,0.679206764,13,./log/run-20190731T224559/
16,3,96,4,64,3,125,80,lrelu,0.002,64,0.99,2,adam,0.993027329,0.675400019,0.716307708,0.813080298,12,./log/run-20190731T224731/
32,4,64,4,64,3,100,80,relu,0.001,64,0.99,0,nesterov,1.009483576,0.650300026,0.644769248,1.003054524,13,./log/run-20190731T224811/
