filters1,ksize1,filters2,ksize2,filters3,ksize3,full_hidd1,full_hidd2,activation,learning_rate,batch_size,momentum,patch_reduction,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
32,4,96,3,96,3,60,100,relu,0.002,64,0.95,1,nesterov,1.0508384704589844,0.6560999751091003,0.7129230917692184,0.8247758098840714,15,./log/run-20190731T223500/
64,3,48,4,128,3,100,80,relu,0.001,32,0.95,0,adam,0.9016900658607483,0.7027000188827515,0.728571436064584,0.7648351504547255,12,./log/run-20190731T223549/
64,3,128,3,64,5,60,80,relu,0.002,64,0.95,0,rmsprop,0.9817917943000793,0.678600013256073,0.6480000181709017,1.0011910591806685,12,./log/run-20190731T223702/
64,5,128,3,64,3,60,100,lrelu,0.003,32,0.9,1,nesterov,1.011242151260376,0.651199996471405,0.6866666725873947,0.8952061430215835,10,./log/run-20190731T223800/
16,5,128,5,96,4,100,80,relu,0.001,64,0.95,2,nesterov,1.0593668222427368,0.6409000158309937,0.6946154003962874,0.8934901414811611,13,./log/run-20190731T223901/
32,5,128,5,96,3,125,125,relu,0.003,64,0.95,2,rmsprop,1.0560975074768066,0.6467000246047974,0.61023078776896,1.0812630441784858,13,./log/run-20190731T223950/
64,4,48,3,64,5,60,80,elu,0.001,128,0.9,2,adam,0.9570968747138977,0.670199990272522,0.6671437112184672,0.9518353453049293,10,./log/run-20190731T224039/
96,3,64,5,96,4,100,125,relu,0.0015,32,0.95,2,nesterov,0.9468016624450684,0.6729000210762024,0.7124242483576139,0.8574031916260719,11,./log/run-20190731T224109/
64,4,64,3,96,5,60,80,lrelu,0.001,64,0.95,0,nesterov,0.9330763816833496,0.6783999800682068,0.7166923225298524,0.8317009846866131,13,./log/run-20190731T224218/
32,5,128,5,64,5,60,100,elu,0.001,32,0.99,2,adam,0.9470762610435486,0.6923999786376953,0.7245454620321592,0.7827456308404604,11,./log/run-20190731T224318/
64,4,64,5,64,4,100,125,elu,0.002,64,0.9,2,nesterov,1.0294238328933716,0.6693000197410583,0.7422906119376421,0.7620212246974309,14,./log/run-20190731T224431/
16,3,48,5,96,5,125,100,relu,0.002,128,0.95,0,adam,0.9412448406219482,0.682200014591217,0.6959848950306574,0.861702799032896,11,./log/run-20190731T224523/
96,3,96,5,96,3,100,80,elu,0.002,32,0.9,2,adam,0.9801371097564697,0.7013999819755554,0.7637878877669573,0.6792067641951144,13,./log/run-20190731T224559/
16,3,96,4,64,3,125,80,lrelu,0.002,64,0.99,2,adam,0.9930273294448853,0.6754000186920166,0.7163077078546797,0.8130802982194083,12,./log/run-20190731T224731/
32,4,64,4,64,3,100,80,relu,0.001,64,0.99,0,nesterov,1.0094835758209229,0.6503000259399414,0.644769247546792,1.003054524064064,13,./log/run-20190731T224811/
