filters1,ksize1,filters2,ksize2,filters3,ksize3,full_hidd1,full_hidd2,activation,learning_rate,batch_size,momentum,patch_reduction,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
64,3,48,4,128,3,100,80,relu,0.001,32,0.95,0,adam,0.8877724409103394,0.6959999799728394,0.6683333384990692,0.9394901049137115,9,./log/run-20190731T205642/
64,3,128,3,64,5,60,80,relu,0.002,64,0.95,0,rmsprop,1.0393186807632446,0.6625000238418579,0.6739145470327801,0.9275034432941013,14,./log/run-20190731T205734/
64,5,128,3,64,3,60,100,lrelu,0.003,32,0.9,1,nesterov,0.9516587853431702,0.6852999925613403,0.7304761974300658,0.7862325764553888,12,./log/run-20190731T205840/
16,5,128,5,96,4,100,80,relu,0.001,64,0.95,2,nesterov,1.0609803199768066,0.6344000101089478,0.6528205295403798,0.994285880724589,11,./log/run-20190731T205949/
32,5,128,5,96,3,125,125,relu,0.003,64,0.95,2,rmsprop,1.1730161905288696,0.5860999822616577,0.5476923257857561,1.2615459007024765,9,./log/run-20190731T210029/
64,4,48,3,64,5,60,80,elu,0.001,128,0.9,2,adam,1.0263631343841553,0.6553999781608582,0.7075134200545458,0.8279279178151717,13,./log/run-20190731T210104/
96,3,64,5,96,4,100,125,relu,0.0015,32,0.95,2,nesterov,0.998828113079071,0.6516000032424927,0.6824242473840714,0.921176138997078,10,./log/run-20190731T210142/
64,4,64,3,96,5,60,80,lrelu,0.001,64,0.95,0,nesterov,0.9875864386558533,0.6721000075340271,0.709769246019423,0.8383198326826096,13,./log/run-20190731T210243/
32,5,128,5,64,5,60,100,elu,0.001,32,0.99,2,adam,0.9407761693000793,0.6820999979972839,0.7021818256378174,0.8460949484109879,10,./log/run-20190731T210341/
64,4,64,5,64,4,100,125,elu,0.002,64,0.9,2,nesterov,1.004596471786499,0.6610999703407288,0.7311538608744741,0.7919786836206913,13,./log/run-20190731T210444/
16,3,48,5,96,5,125,100,relu,0.002,128,0.95,0,adam,0.982660174369812,0.675599992275238,0.6871397351989379,0.8777727263096051,11,./log/run-20190731T210532/
96,3,96,5,96,3,100,80,elu,0.002,32,0.9,2,adam,0.9283018708229065,0.6942999958992004,0.7202020279566447,0.8035061255097389,11,./log/run-20190731T210606/
16,3,96,4,64,3,125,80,lrelu,0.002,64,0.99,2,adam,0.9258777499198914,0.6858000159263611,0.6823589913050334,0.8914636001984279,11,./log/run-20190731T210721/
32,4,64,4,64,3,100,80,relu,0.001,64,0.99,0,nesterov,0.996871292591095,0.6581000089645386,0.6626923248171807,0.9683977113664151,13,./log/run-20190731T210757/
